源节点,目标节点
疾病_高血压,药物_阿卡波糖片
疾病_高血压,药物_阿司匹林肠溶片
疾病_高血压,药物_碳酸钙片
疾病_高血压,药物_苯磺酸氨氯地平片
疾病_高脂血症,药物_阿托伐他汀钙片
疾病_高脂血症,药物_阿司匹林肠溶片
疾病_高脂血症,药物_艾司唑仑片
疾病_糖尿病,药物_阿司匹林肠溶片
疾病_糖尿病,疾病_高尿酸血症
疾病_糖尿病,药物_阿卡波糖片
疾病_糖尿病,疾病_脂肪肝
疾病_糖尿病,药物_盐酸羟考酮缓释片
疾病_糖尿病,药物_艾司唑仑片
疾病_糖尿病,疾病_高脂血症
疾病_冠状动脉粥样硬化性心脏病,药物_阿司匹林肠溶片
疾病_冠状动脉粥样硬化性心脏病,药物_艾司唑仑片
疾病_冠状动脉粥样硬化性心脏病,药物_硫酸氢氯吡格雷片
疾病_冠状动脉粥样硬化性心脏病,疾病_混合痔
疾病_冠状动脉粥样硬化性心脏病,药物_阿托伐他汀钙片
疾病_冠状动脉粥样硬化性心脏病,疾病_动脉硬化
疾病_冠状动脉粥样硬化性心脏病,疾病_高脂血症
疾病_冠状动脉粥样硬化性心脏病,疾病_反流性食管炎
疾病_反流性食管炎,疾病_高脂血症
疾病_反流性食管炎,药物_艾司唑仑片
疾病_反流性食管炎,疾病_糖尿病
疾病_反流性食管炎,疾病_混合痔
疾病_反流性食管炎,疾病_脂肪肝
疾病_反流性食管炎,药物_氯化钠注射液
疾病_反流性食管炎,药物_苯磺酸氨氯地平片
疾病_动脉硬化,疾病_脂肪肝
疾病_动脉硬化,疾病_高脂血症
疾病_动脉硬化,疾病_混合痔
疾病_动脉硬化,疾病_心律失常
疾病_动脉硬化,药物_阿托伐他汀钙片
疾病_动脉硬化,疾病_高血压
疾病_动脉硬化,疾病_反流性食管炎
疾病_动脉硬化,药物_苯磺酸氨氯地平片
疾病_动脉硬化,药物_阿司匹林肠溶片
疾病_脂肪肝,药物_阿托伐他汀钙片
疾病_脂肪肝,药物_氯化钠注射液
疾病_脂肪肝,药物_盐酸羟考酮缓释片
疾病_脂肪肝,疾病_高尿酸血症
疾病_脂肪肝,药物_阿卡波糖片
疾病_混合痔,药物_艾司唑仑片
疾病_混合痔,药物_盐酸羟考酮缓释片
疾病_混合痔,疾病_糖尿病
疾病_混合痔,药物_氯化钠注射液
疾病_混合痔,疾病_高脂血症
疾病_高尿酸血症,药物_阿卡波糖片
疾病_高尿酸血症,药物_硫酸氢氯吡格雷片
疾病_高尿酸血症,药物_阿托伐他汀钙片
疾病_高尿酸血症,药物_盐酸羟考酮缓释片
疾病_心律失常,疾病_高尿酸血症
疾病_心律失常,药物_硫酸氢氯吡格雷片
疾病_心律失常,药物_碳酸钙片
疾病_心律失常,疾病_混合痔
疾病_心律失常,疾病_高血压
药物_氯化钠注射液,药物_肝素钠注射液
药物_氯化钠注射液,药物_艾司唑仑片
药物_艾司唑仑片,药物_阿司匹林肠溶片
药物_艾司唑仑片,药物_阿托伐他汀钙片
药物_阿司匹林肠溶片,药物_阿托伐他汀钙片
药物_盐酸羟考酮缓释片,药物_碳酸钙片
药物_阿卡波糖片,药物_阿司匹林肠溶片
药物_硫酸氢氯吡格雷片,药物_苯磺酸氨氯地平片
药物_硫酸氢氯吡格雷片,药物_艾司唑仑片
药物_硫酸氢氯吡格雷片,药物_阿司匹林肠溶片
检验_碳酸氢盐,疾病_高血压
检验_碳酸氢盐,检验_磷
检验_碳酸氢盐,疾病_混合痔
检验_碳酸氢盐,疾病_心律失常
检验_碳酸氢盐,药物_艾司唑仑片
检验_碳酸氢盐,药物_阿托伐他汀钙片
检验_碳酸氢盐,疾病_脂肪肝
检验_碳酸氢盐,疾病_高脂血症
检验_碳酸氢盐,检验_钾
检验_碳酸氢盐,疾病_冠状动脉粥样硬化性心脏病
检验_碳酸氢盐,检验_镁
检验_葡萄糖,疾病_糖尿病
检验_葡萄糖,疾病_混合痔
检验_葡萄糖,检验_镁
检验_葡萄糖,药物_阿托伐他汀钙片
检验_葡萄糖,药物_盐酸羟考酮缓释片
检验_葡萄糖,疾病_高脂血症
检验_葡萄糖,检验_钾
检验_葡萄糖,疾病_动脉硬化
检验_葡萄糖,疾病_高血压
检验_葡萄糖,疾病_脂肪肝
检验_葡萄糖,疾病_反流性食管炎
检验_钾,疾病_高血压
检验_钾,疾病_混合痔
检验_钾,药物_阿卡波糖片
检验_钾,疾病_脂肪肝
检验_钾,检验_镁
检验_钾,药物_氯化钠注射液
检验_钾,疾病_动脉硬化
检验_钾,疾病_冠状动脉粥样硬化性心脏病
检验_尿酸,疾病_混合痔
检验_尿酸,检验_磷
检验_尿酸,检验_镁
检验_尿酸,检验_碳酸氢盐
检验_尿酸,疾病_糖尿病
检验_尿酸,疾病_高尿酸血症
检验_尿酸,药物_硫酸氢氯吡格雷片
检验_尿酸,药物_阿卡波糖片
检验_尿酸,检验_氯
检验_尿酸,检验_葡萄糖
检验_尿酸,疾病_高脂血症
检验_尿酸,疾病_动脉硬化
检验_尿酸,疾病_脂肪肝
检验_尿酸,疾病_反流性食管炎
检验_氯,检验_钠
检验_氯,疾病_糖尿病
检验_氯,疾病_高尿酸血症
检验_氯,药物_肝素钠注射液
检验_氯,检验_磷
检验_氯,疾病_心律失常
检验_氯,药物_阿托伐他汀钙片
检验_氯,检验_葡萄糖
检验_氯,疾病_高脂血症
检验_氯,疾病_脂肪肝
检验_氯,疾病_冠状动脉粥样硬化性心脏病
检验_氯,药物_氯化钠注射液
检验_氯,疾病_动脉硬化
检验_氯,疾病_反流性食管炎
检验_氯,检验_碳酸氢盐
检验_氯,疾病_高血压
检验_钠,药物_阿司匹林肠溶片
检验_钠,疾病_高尿酸血症
检验_钠,疾病_心律失常
检验_钠,药物_碳酸钙片
检验_钠,药物_肝素钠注射液
检验_钠,检验_镁
检验_钠,药物_阿托伐他汀钙片
检验_钠,疾病_高血压
检验_钠,疾病_动脉硬化
检验_钠,疾病_高脂血症
检验_钠,检验_钾
检验_钠,药物_氯化钠注射液
检验_钠,疾病_脂肪肝
检验_镁,疾病_高尿酸血症
检验_镁,药物_阿托伐他汀钙片
检验_镁,疾病_动脉硬化
检验_镁,疾病_脂肪肝
检验_镁,疾病_反流性食管炎
检验_镁,药物_硫酸氢氯吡格雷片
检验_磷,药物_盐酸羟考酮缓释片
检验_磷,药物_碳酸钙片
检验_磷,疾病_高尿酸血症
检验_磷,药物_硫酸氢氯吡格雷片
检验_磷,疾病_心律失常
检验_磷,疾病_脂肪肝
检验_磷,疾病_高脂血症
检验_磷,疾病_冠状动脉粥样硬化性心脏病
检验_磷,疾病_高血压
检验_磷,疾病_反流性食管炎
检验_总蛋白,疾病_高血压
检验_总蛋白,检验_氯
检验_总蛋白,疾病_糖尿病
检验_总蛋白,药物_苯磺酸氨氯地平片
检验_总蛋白,检验_磷
检验_总蛋白,药物_氯化钠注射液
检验_总蛋白,药物_艾司唑仑片
检验_总蛋白,检验_镁
检验_总蛋白,疾病_冠状动脉粥样硬化性心脏病
检验_总蛋白,疾病_混合痔
检验_总蛋白,检验_钾
检验_总蛋白,疾病_动脉硬化
检验_总蛋白,疾病_脂肪肝
检验_总蛋白,检验_碳酸氢盐
检验_谷草/谷丙,药物_阿司匹林肠溶片
检验_谷草/谷丙,疾病_糖尿病
检验_谷草/谷丙,疾病_混合痔
检验_谷草/谷丙,药物_盐酸羟考酮缓释片
检验_谷草/谷丙,检验_钠
检验_谷草/谷丙,检验_钾
检验_谷草/谷丙,疾病_动脉硬化
检验_谷草/谷丙,药物_氯化钠注射液
检验_谷草/谷丙,检验_镁
