节点,类型,父节点,P(0),P(1),条件
疾病_高血压,条件概率,"检验_总蛋白, 药物_阿卡波糖片",0.8182,0.1818,"0,0"
疾病_高血压,条件概率,"检验_总蛋白, 药物_阿卡波糖片",0.0000,1.0000,"0,1"
疾病_高血压,条件概率,"检验_总蛋白, 药物_阿卡波糖片",0.3846,0.6154,"1,0"
疾病_高血压,条件概率,"检验_总蛋白, 药物_阿卡波糖片",0.0000,1.0000,"1,1"
疾病_高脂血症,条件概率,"药物_阿托伐他汀钙片, 检验_钠, 疾病_混合痔",0.7917,0.2083,"0,0,0"
疾病_高脂血症,条件概率,"药物_阿托伐他汀钙片, 检验_钠, 疾病_混合痔",1.0000,0.0000,"0,0,1"
疾病_高脂血症,条件概率,"药物_阿托伐他汀钙片, 检验_钠, 疾病_混合痔",0.4286,0.5714,"0,1,0"
疾病_高脂血症,条件概率,"药物_阿托伐他汀钙片, 检验_钠, 疾病_混合痔",0.5000,0.5000,"0,1,1"
疾病_高脂血症,条件概率,"药物_阿托伐他汀钙片, 检验_钠, 疾病_混合痔",0.0000,1.0000,"1,0,0"
疾病_高脂血症,条件概率,"药物_阿托伐他汀钙片, 检验_钠, 疾病_混合痔",0.5000,0.5000,"1,0,1"
疾病_高脂血症,条件概率,"药物_阿托伐他汀钙片, 检验_钠, 疾病_混合痔",1.0000,0.0000,"1,1,0"
疾病_高脂血症,条件概率,"药物_阿托伐他汀钙片, 检验_钠, 疾病_混合痔",0.5000,0.5000,"1,1,1"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.8571,0.1429,"0,0,0,0"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.5000,0.5000,"0,0,0,1"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.3333,0.6667,"0,0,1,0"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.5000,0.5000,"0,0,1,1"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.0000,1.0000,"0,1,0,0"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.5000,0.5000,"0,1,0,1"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.0000,1.0000,"0,1,1,0"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.5000,0.5000,"0,1,1,1"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",1.0000,0.0000,"1,0,0,0"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.5000,0.5000,"1,0,0,1"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",1.0000,0.0000,"1,0,1,0"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.5000,0.5000,"1,0,1,1"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",1.0000,0.0000,"1,1,0,0"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.5000,0.5000,"1,1,0,1"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.5000,0.5000,"1,1,1,0"
疾病_糖尿病,条件概率,"疾病_反流性食管炎, 药物_阿司匹林肠溶片, 检验_葡萄糖, 检验_谷草/谷丙",0.5000,0.5000,"1,1,1,1"
疾病_冠状动脉粥样硬化性心脏病,条件概率,"检验_葡萄糖, 药物_阿卡波糖片",0.8857,0.1143,"0,0"
疾病_冠状动脉粥样硬化性心脏病,条件概率,"检验_葡萄糖, 药物_阿卡波糖片",0.0000,1.0000,"0,1"
疾病_冠状动脉粥样硬化性心脏病,条件概率,"检验_葡萄糖, 药物_阿卡波糖片",1.0000,0.0000,"1,0"
疾病_冠状动脉粥样硬化性心脏病,条件概率,"检验_葡萄糖, 药物_阿卡波糖片",1.0000,0.0000,"1,1"
疾病_反流性食管炎,条件概率,疾病_高脂血症,0.9143,0.0857,0
疾病_反流性食管炎,条件概率,疾病_高脂血症,0.5333,0.4667,1
