边,源节点,目标节点,平均分数,标准差,变异系数,稳定性分数,最大成对差异,平均成对差异,方法数量,一致性水平,MLE_分数,Bayesian_分数,EM_分数,SEM_分数
疾病_高脂血症->疾病_动脉硬化,疾病_高脂血症,疾病_动脉硬化,0.8142253761144199,0.010958489090847063,0.013458790910131385,0.9867199426056142,0.03073301907318937,0.015366509536594686,4,高度一致,0.8128028166305717,0.8310144451348628,0.8128028166305717,0.8002814260616734
检验_总蛋白->疾病_动脉硬化,检验_总蛋白,疾病_动脉硬化,0.3609183604175098,0.011666755003124592,0.03232519118625195,0.9686870072897216,0.03185028054031652,0.01592514027015826,4,高度一致,0.363969282571683,0.37379257853349496,0.363969282571683,0.34194229799317843
疾病_高尿酸血症->疾病_脂肪肝,疾病_高尿酸血症,疾病_脂肪肝,0.3190339643015296,0.012523328690347172,0.039253904259895535,0.9622287642134476,0.03485553298168781,0.017427766490843905,4,高度一致,0.3168045610054026,0.3038356011068126,0.3168045610054026,0.33869113408850043
疾病_反流性食管炎->疾病_糖尿病,疾病_反流性食管炎,疾病_糖尿病,0.5208888087737161,0.025683411579972937,0.0493068984154933,0.9530100312025497,0.06251144989132518,0.03361586870991159,4,高度一致,0.5017207306545114,0.5158815932400054,0.5017207306545114,0.5642321805458366
药物_阿托伐他汀钙片->疾病_高脂血症,药物_阿托伐他汀钙片,疾病_高脂血症,0.8803864200191487,0.045006416293238455,0.05112120685852872,0.9513650694848846,0.11751379970133402,0.05875689985066701,4,高度一致,0.8976893350200849,0.9218404048688794,0.8976893350200849,0.8043266051675454
疾病_高血压->检验_总蛋白,疾病_高血压,检验_总蛋白,0.9631885009947745,0.06375938657982172,0.06619616670461853,0.9379137078411973,0.14724599602090194,0.07362299801045097,4,高度一致,1.0,1.0,1.0,0.8527540039790981
疾病_混合痔->检验_尿酸,疾病_混合痔,检验_尿酸,0.5520789074759519,0.04069680462610965,0.07371555782156443,0.9313453574509769,0.09818892784504829,0.05184452130575782,4,高度一致,0.5234065894398393,0.5399069337392414,0.5234065894398393,0.6215955172848876
疾病_动脉硬化->疾病_脂肪肝,疾病_动脉硬化,疾病_脂肪肝,0.8746734126538058,0.0723942239539551,0.08276714817969276,0.9235596052957112,0.1689887648621513,0.08543770663135523,4,高度一致,0.8310112351378487,0.8366711803395261,0.8310112351378487,1.0
检验_尿酸->疾病_混合痔,检验_尿酸,疾病_混合痔,0.4888886330945821,0.041053557471019485,0.08397322967228228,0.9225320078267338,0.09860559642137023,0.051680493295547414,4,高度一致,0.46067069136194605,0.47493686187111983,0.46067069136194605,0.5592762877833163
检验_碳酸氢盐->检验_总蛋白,检验_碳酸氢盐,检验_总蛋白,0.5156179802737113,0.05302909022445914,0.10284569633570402,0.906745162376371,0.12650693593262885,0.06565081208859917,4,高度一致,0.5508407304402957,0.5364566657065872,0.5508407304402957,0.42433379450766684
检验_钠->疾病_高脂血症,检验_钠,疾病_高脂血症,0.471174831465466,0.05203884450663772,0.11044487317963167,0.9005399765020433,0.13602682561369533,0.06801341280684767,4,高度一致,0.49105268790847023,0.5193103878293095,0.49105268790847023,0.38328356221561416
疾病_心律失常->药物_碳酸钙片,疾病_心律失常,药物_碳酸钙片,0.3639670736921041,0.04197157424854809,0.11531695387383778,0.8966061140976056,0.10265011344634722,0.0579254711387836,4,高度一致,0.32840392370710236,0.3680064102007623,0.32840392370710236,0.4310540371534496
疾病_高脂血症->疾病_混合痔,疾病_高脂血症,疾病_混合痔,0.4281294735488429,0.05125104269864314,0.11970921383621162,0.8930890160079343,0.1218562723186411,0.0629549936754208,4,高度一致,0.39462511919503224,0.4067862642916337,0.39462511919503224,0.5164813915136733
疾病_高血压->药物_阿卡波糖片,疾病_高血压,药物_阿卡波糖片,0.5416759034850268,0.06521781114211955,0.12040005974517626,0.8925383315558194,0.15511561949004088,0.08017262475427918,4,高度一致,0.49897477609862845,0.5146636661541809,0.49897477609862845,0.6540903955886693
疾病_糖尿病->疾病_高尿酸血症,疾病_糖尿病,疾病_高尿酸血症,0.7113990844426633,0.08870274542587252,0.12468774189576808,0.8891356798415931,0.21073888521759154,0.10876506027490922,4,高度一致,0.6536209366390953,0.6739946426357759,0.6536209366390953,0.8643598218566868
疾病_糖尿病->药物_阿卡波糖片,疾病_糖尿病,药物_阿卡波糖片,0.6825323448175034,0.08628589943405274,0.12642023501043603,0.8877681427577828,0.20534347394899632,0.10621417683108599,4,高度一致,0.6258828165453725,0.6471374556848994,0.6258828165453725,0.8312262904943688
疾病_高血压->药物_阿司匹林肠溶片,疾病_高血压,药物_阿司匹林肠溶片,0.4287407720676032,0.05656885847405712,0.13194186827917878,0.8834375934165578,0.15229837854615652,0.07614918927307826,4,高度一致,0.4460810787426409,0.4875496546656439,0.4460810787426409,0.33525127611948735
检验_葡萄糖->疾病_冠状动脉粥样硬化性心脏病,检验_葡萄糖,疾病_冠状动脉粥样硬化性心脏病,0.413678502108788,0.06043180207446703,0.1460839801111416,0.8725364086347538,0.1449505963564049,0.07581055367336419,4,高度一致,0.37243796977694416,0.39244950274791457,0.37243796977694416,0.517388566133349
检验_尿酸->检验_碳酸氢盐,检验_尿酸,检验_碳酸氢盐,0.510342755129707,0.07755909344486296,0.15197451647011392,0.8680747583411872,0.18936242470114895,0.09468121235057447,4,高度一致,0.4711873341780469,0.4548169637307925,0.4711873341780469,0.6441793884319414
检验_钠->药物_阿司匹林肠溶片,检验_钠,药物_阿司匹林肠溶片,0.5987150323132987,0.09175098676904898,0.15324650596218378,0.86711730304847,0.23603702695375672,0.11801851347687836,4,高度一致,0.6368471554045736,0.6786014226989021,0.6368471554045736,0.4425643957451454
药物_阿卡波糖片->疾病_高血压,药物_阿卡波糖片,疾病_高血压,0.4950977301262318,0.08140748202041614,0.16442709603952377,0.8587914206060844,0.19192278508670035,0.0981200109365367,4,高度一致,0.4438791062647769,0.456830816623896,0.4438791062647769,0.6358018913514772
疾病_反流性食管炎->药物_艾司唑仑片,疾病_反流性食管炎,药物_艾司唑仑片,0.6291441524826441,0.10536999898721452,0.16748148825895878,0.8565446305202488,0.24509794964384723,0.12254897482192362,4,高度一致,0.5691965831273037,0.566542747016061,0.5691965831273037,0.8116406966599082
疾病_高脂血症->药物_阿司匹林肠溶片,疾病_高脂血症,药物_阿司匹林肠溶片,0.3436270389988818,0.057875701310067466,0.1684259232878813,0.8558522881673656,0.1391656569805697,0.07306724845536135,4,高度一致,0.30360899480612463,0.32451551459658357,0.30360899480612463,0.44277465178669434
检验_葡萄糖->疾病_混合痔,检验_葡萄糖,疾病_混合痔,0.3641576699967327,0.062269610244603146,0.1709962891765038,0.8539736711746918,0.14681783157104739,0.07506845318904666,4,高度一致,0.32496390599868646,0.3349211304198243,0.32496390599868646,0.47178173756973385
疾病_糖尿病->药物_阿司匹林肠溶片,疾病_糖尿病,药物_阿司匹林肠溶片,0.7513673403754522,0.1304120989893057,0.17356636625187866,0.8521034930421424,0.3145848712542111,0.16604838623404522,4,高度一致,0.6595871966514899,0.712122900293128,0.6595871966514899,0.974172067905701
疾病_糖尿病->检验_葡萄糖,疾病_糖尿病,检验_葡萄糖,0.5873732307795864,0.11600062303883557,0.1974904829845151,0.8350797056087593,0.2709278676765058,0.1370577679403403,4,高度一致,0.5172505127073288,0.5268135173198533,0.5172505127073288,0.7881783803838346
疾病_高脂血症->药物_阿托伐他汀钙片,疾病_高脂血症,药物_阿托伐他汀钙片,0.547952351933042,0.11126493938511944,0.20305586606682846,0.8312165945122045,0.25924186898928225,0.1308080674775872,4,高度一致,0.6145435186547816,0.6074207207571053,0.6145435186547816,0.3553016496654994
检验_尿酸->检验_磷,检验_尿酸,检验_磷,0.5933334395672271,0.1253340823281327,0.21123717958581675,0.8256021337967437,0.29685633763245756,0.15261932143359738,4,高度一致,0.5128326262330598,0.5379795419372714,0.5128326262330598,0.8096889638655174
检验_钠->检验_氯,检验_钠,检验_氯,0.5721264770987802,0.1246629414724182,0.21789402599330251,0.8210895025816469,0.29352316568681774,0.14676158284340887,4,高度一致,0.5030513884111485,0.494439982943003,0.5030513884111485,0.7879631486298208
检验_总蛋白->疾病_高血压,检验_总蛋白,疾病_高血压,0.49955742333342523,0.10888032135797905,0.21795356504052554,0.821049364034438,0.25450158792172306,0.12885981878586067,4,高度一致,0.43351848911549573,0.44317263806549057,0.43351848911549573,0.6880200770372188
检验_总蛋白->检验_氯,检验_总蛋白,检验_氯,0.44185763285142526,0.0992354519196971,0.22458693602123433,0.8166018847539461,0.23944661641471232,0.11972330820735616,4,高度一致,0.39008080740171547,0.37391115009377895,0.39008080740171547,0.6133577665084913
疾病_高血压->检验_碳酸氢盐,疾病_高血压,检验_碳酸氢盐,0.32608515718900705,0.08012624420717607,0.24572183811706863,0.8027474267542088,0.19800723501249856,0.09900361750624927,4,高度一致,0.2871062286366961,0.26606046823506874,0.2871062286366961,0.4640677032475673
药物_阿司匹林肠溶片->疾病_糖尿病,药物_阿司匹林肠溶片,疾病_糖尿病,0.4228449006926738,0.10830167537317761,0.25612624202341255,0.796098327178616,0.2548471964086699,0.13000442047524183,4,中等一致,0.355261868184146,0.3707468018095873,0.355261868184146,0.6101090645928159
疾病_高血压->检验_钾,疾病_高血压,检验_钾,0.42655899374526873,0.11562028938985008,0.2710534558764828,0.7867489721826278,0.2718990808549677,0.1386034619056038,4,中等一致,0.3546033413143469,0.37052687018306646,0.3546033413143469,0.6265024221693146
疾病_高脂血症->疾病_反流性食管炎,疾病_高脂血症,疾病_反流性食管炎,0.41991824299905967,0.11440510726420997,0.27244614677163753,0.7858878763059096,0.268366347364669,0.13418317368233454,4,中等一致,0.48383980836164764,0.4901798513188061,0.48383980836164764,0.22181350395413707
检验_葡萄糖->疾病_糖尿病,检验_葡萄糖,疾病_糖尿病,0.42649095933110415,0.12035800838677171,0.28220529826830953,0.779906307789054,0.27928285377120127,0.14031859534431237,4,中等一致,0.3556544932002362,0.35971750395250673,0.3556544932002362,0.6349373469714374
药物_阿托伐他汀钙片->疾病_高尿酸血症,药物_阿托伐他汀钙片,疾病_高尿酸血症,0.2949000795805292,0.08527822230337864,0.2891766676519037,0.7756888757701396,0.2040900902524841,0.10638870073813318,4,中等一致,0.23736207359957145,0.26342400727091836,0.23736207359957145,0.44145216385205555
检验_氯->检验_钠,检验_氯,检验_钠,0.3044897001484933,0.08871363439566514,0.2913518399880237,0.7743822938365691,0.20885513762110156,0.10442756881055078,4,中等一致,0.35365829138158217,0.35974867772595526,0.35365829138158217,0.1508935401048537
疾病_混合痔->疾病_高脂血症,疾病_混合痔,疾病_高脂血症,0.29978133003871243,0.09206331168871312,0.30710155191060257,0.7650514977495747,0.21555152009413775,0.10933781569237382,4,中等一致,0.24355036654722062,0.2529227004190502,0.24355036654722062,0.45910188664135837
