路径ID,路径描述,间接效应均值,间接效应HDI下限,间接效应HDI上限,间接效应标准差,直接效应均值,直接效应HDI下限,直接效应HDI上限,直接效应标准差,总效应均值,总效应HDI下限,总效应HDI上限,总效应标准差,中介比例,中介比例百分比,主要影响类型,影响强度,间接效应方向,直接效应方向,中介类型,显著性概率,是否显著,正向效应概率,负向效应概率,结论
1,疾病_反流性食管炎 → 疾病_糖尿病 → 疾病_高尿酸血症,-0.1322,-0.2699,-0.0062,0.0735,-0.0463,-0.3008,0.216,0.1388,-0.1786,-0.4406,0.1098,0.1473,1.6219,162.2,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.987,是,0.013,0.987,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为162.2%。
2,疾病_反流性食管炎 → 疾病_糖尿病 → 药物_盐酸羟考酮缓释片,-0.0976,-0.2169,0.0165,0.0655,-0.0038,-0.2982,0.2696,0.1526,-0.1014,-0.3965,0.1936,0.1555,2.8479,284.8,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.9725,是,0.0275,0.9725,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为284.8%。
3,疾病_反流性食管炎 → 疾病_糖尿病 → 药物_阿卡波糖片,-0.1436,-0.2877,-0.0195,0.0764,-0.0004,-0.2425,0.2731,0.137,-0.144,-0.4397,0.1096,0.1466,1.2574,125.7,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.9895,是,0.0105,0.9895,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为125.7%。
4,疾病_反流性食管炎 → 疾病_糖尿病 → 药物_阿司匹林肠溶片,-0.167,-0.3233,-0.0171,0.0843,0.1117,-0.148,0.3671,0.1371,-0.0554,-0.3516,0.206,0.1489,7.9635,796.3,间接影响（中介效应）,强,负向中介,正向直接效应,完全中介,0.987,是,0.013,0.987,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为796.3%。
5,疾病_反流性食管炎 → 疾病_糖尿病 → 检验_葡萄糖,-0.1707,-0.3451,-0.0302,0.0866,0.1928,-0.0624,0.447,0.1372,0.0221,-0.2666,0.2873,0.1507,78.1774,7817.7,直接影响,强,负向中介,正向直接效应,完全中介,0.9845,是,0.0155,0.9845,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为完全中介，中介比例为7817.7%。
6,疾病_反流性食管炎 → 药物_氯化钠注射液 → 检验_谷草/谷丙,-0.0172,-0.0875,0.0382,0.0328,-0.0627,-0.3528,0.2034,0.1461,-0.0798,-0.3553,0.1901,0.1448,0.344,34.4,直接影响,强,负向中介,负向直接效应,部分中介,0.7035,否,0.2965,0.7035,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为34.4%。
7,疾病_反流性食管炎 → 药物_氯化钠注射液 → 药物_肝素钠注射液,0.0725,-0.0351,0.2154,0.0667,-0.1437,-0.4023,0.0937,0.133,-0.0712,-0.3472,0.188,0.1446,-1.4812,-148.1,直接影响,强,正向中介,负向直接效应,完全中介,0.8935,否,0.8935,0.1065,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为-148.1%。
8,疾病_高血压 → 检验_总蛋白 → 疾病_动脉硬化,0.0098,-0.13,0.1413,0.07,0.1166,-0.1737,0.4357,0.1618,0.1264,-0.1591,0.3953,0.1475,0.212,21.2,直接影响,强,正向中介,正向直接效应,部分中介,0.548,否,0.548,0.452,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为21.2%。
9,疾病_高血压 → 检验_总蛋白 → 药物_苯磺酸氨氯地平片,0.0968,-0.022,0.2464,0.0711,0.1722,-0.1094,0.4687,0.156,0.269,-0.017,0.5188,0.1445,0.5744,57.4,直接影响,强,正向中介,正向直接效应,部分中介,0.9375,否,0.9375,0.0625,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为57.4%。
10,疾病_高血压 → 检验_总蛋白 → 检验_氯,0.146,0.0058,0.3018,0.0824,-0.132,-0.4183,0.1581,0.1533,0.014,-0.2727,0.2643,0.1449,-1.0873,-108.7,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,0.9875,是,0.9875,0.0125,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为-108.7%。
